2022-05-18/14:11:39		Reading training file
2022-05-19/17:27:57		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:27:57		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:27:57		Finding outliers is a success
2022-05-19/17:27:57		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:27:57		There are no outliers, thus replacing outliers is a success
2022-05-19/17:27:57		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:27:57		Creating New features is a success
2022-05-19/17:27:57		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:27:57		Creating New features is a success
2022-05-19/17:27:57		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:27:57		Entered the trainModel method of the Preprocessor class
2022-05-19/17:27:59		Training different models is a success
2022-05-19/17:27:59		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:27:59		Saving the best model
2022-05-19/17:27:59		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:29:31		Entered the readDataset method of the Preprocessor class
2022-05-19/17:29:31		Reading data is a success
2022-05-19/17:29:31		Entered the readDataset method of the Preprocessor class
2022-05-19/17:29:31		Reading data is a success
2022-05-19/17:29:31		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:29:31		Finding missing values is a success
2022-05-19/17:29:31		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:29:31		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:29:31		Finding missing values is a success
2022-05-19/17:29:31		There are no null values, thus filling missing values is a success
2022-05-19/17:29:31		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:29:31		Finding outliers is a success
2022-05-19/17:29:31		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:29:31		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:29:31		Finding outliers is a success
2022-05-19/17:29:31		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:29:31		There are no outliers, thus replacing outliers is a success
2022-05-19/17:29:31		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:29:31		Creating New features is a success
2022-05-19/17:29:31		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:29:31		Creating New features is a success
2022-05-19/17:29:31		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:29:31		Entered the trainModel method of the Preprocessor class
2022-05-19/17:29:33		Training different models is a success
2022-05-19/17:29:33		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:29:33		Saving the best model
2022-05-19/17:29:33		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:41:42		Entered the readDataset method of the Preprocessor class
2022-05-19/17:41:42		Reading data is a success
2022-05-19/17:41:42		Entered the readDataset method of the Preprocessor class
2022-05-19/17:41:42		Reading data is a success
2022-05-19/17:41:42		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:41:42		Finding missing values is a success
2022-05-19/17:41:42		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:41:42		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:41:42		Finding missing values is a success
2022-05-19/17:41:42		There are no null values, thus filling missing values is a success
2022-05-19/17:41:42		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:41:42		Finding outliers is a success
2022-05-19/17:41:42		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:41:42		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:41:42		Finding outliers is a success
2022-05-19/17:41:42		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:41:42		There are no outliers, thus replacing outliers is a success
2022-05-19/17:41:42		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:41:42		Creating New features is a success
2022-05-19/17:41:42		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:41:42		Creating New features is a success
2022-05-19/17:41:42		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:41:42		Entered the trainModel method of the Preprocessor class
2022-05-19/17:41:43		Training different models is a success
2022-05-19/17:41:44		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:41:44		Saving the best model
2022-05-19/17:41:44		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:51:39		Entered the readDataset method of the Preprocessor class
2022-05-19/17:51:39		Reading data is a success
2022-05-19/17:51:40		Entered the readDataset method of the Preprocessor class
2022-05-19/17:51:40		Reading data is a success
2022-05-19/17:51:40		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:51:40		Finding missing values is a success
2022-05-19/17:51:40		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:51:40		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:51:40		Finding missing values is a success
2022-05-19/17:51:40		There are no null values, thus filling missing values is a success
2022-05-19/17:51:40		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:51:40		Finding outliers is a success
2022-05-19/17:51:40		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:51:40		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:51:40		Finding outliers is a success
2022-05-19/17:51:40		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:51:40		There are no outliers, thus replacing outliers is a success
2022-05-19/17:51:40		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:51:40		Creating New features is a success
2022-05-19/17:51:40		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:51:40		Creating New features is a success
2022-05-19/17:51:40		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:51:40		Entered the trainModel method of the Preprocessor class
2022-05-19/17:51:41		Training different models is a success
2022-05-19/17:51:42		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:51:42		Saving the best model
2022-05-19/17:51:42		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:53:51		Entered the readDataset method of the Preprocessor class
2022-05-19/17:53:51		Reading data is a success
2022-05-19/17:53:51		Entered the readDataset method of the Preprocessor class
2022-05-19/17:53:51		Reading data is a success
2022-05-19/17:53:51		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:53:51		Finding missing values is a success
2022-05-19/17:53:51		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:53:51		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:53:51		Finding missing values is a success
2022-05-19/17:53:51		There are no null values, thus filling missing values is a success
2022-05-19/17:53:51		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:53:51		Finding outliers is a success
2022-05-19/17:53:51		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:53:51		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:53:51		Finding outliers is a success
2022-05-19/17:53:51		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:53:51		There are no outliers, thus replacing outliers is a success
2022-05-19/17:53:51		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:53:52		Creating New features is a success
2022-05-19/17:53:52		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:53:52		Creating New features is a success
2022-05-19/17:53:52		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:53:52		Entered the trainModel method of the Preprocessor class
2022-05-19/17:53:53		Training different models is a success
2022-05-19/17:53:53		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:53:53		Saving the best model
2022-05-19/17:53:53		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:56:35		Entered the readDataset method of the Preprocessor class
2022-05-19/17:56:35		Reading data is a success
2022-05-19/17:56:35		Entered the readDataset method of the Preprocessor class
2022-05-19/17:56:35		Reading data is a success
2022-05-19/17:56:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:56:35		Finding missing values is a success
2022-05-19/17:56:35		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:56:35		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:56:35		Finding missing values is a success
2022-05-19/17:56:35		There are no null values, thus filling missing values is a success
2022-05-19/17:56:35		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:56:35		Finding outliers is a success
2022-05-19/17:56:35		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:56:35		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:56:35		Finding outliers is a success
2022-05-19/17:56:35		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:56:35		There are no outliers, thus replacing outliers is a success
2022-05-19/17:56:35		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:56:35		Creating New features is a success
2022-05-19/17:56:35		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:56:35		Creating New features is a success
2022-05-19/17:56:35		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:56:35		Entered the trainModel method of the Preprocessor class
2022-05-19/17:56:37		Training different models is a success
2022-05-19/17:56:37		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:56:37		Saving the best model
2022-05-19/17:56:37		Entered the predictingTestData method of the Preprocessor class
2022-05-19/17:58:19		Entered the readDataset method of the Preprocessor class
2022-05-19/17:58:19		Reading data is a success
2022-05-19/17:58:20		Entered the readDataset method of the Preprocessor class
2022-05-19/17:58:20		Reading data is a success
2022-05-19/17:58:20		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:58:20		Finding missing values is a success
2022-05-19/17:58:20		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/17:58:20		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/17:58:20		Finding missing values is a success
2022-05-19/17:58:20		There are no null values, thus filling missing values is a success
2022-05-19/17:58:20		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:58:20		Finding outliers is a success
2022-05-19/17:58:20		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/17:58:20		Entered the checkOutliers method of the Preprocessor class
2022-05-19/17:58:20		Finding outliers is a success
2022-05-19/17:58:20		Saving the plot of target data after replacing outliers is a success
2022-05-19/17:58:20		There are no outliers, thus replacing outliers is a success
2022-05-19/17:58:20		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:58:20		Creating New features is a success
2022-05-19/17:58:20		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/17:58:20		Creating New features is a success
2022-05-19/17:58:20		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/17:58:20		Entered the trainModel method of the Preprocessor class
2022-05-19/17:58:21		Training different models is a success
2022-05-19/17:58:21		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/17:58:22		Saving the best model
2022-05-19/17:58:22		Entered the predictingTestData method of the Preprocessor class
2022-05-19/18:02:31		Entered the readDataset method of the Preprocessor class
2022-05-19/18:02:31		Reading data is a success
2022-05-19/18:02:31		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:02:31		Finding missing values is a success
2022-05-19/18:02:31		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/18:02:31		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:02:31		Finding missing values is a success
2022-05-19/18:02:31		There are no null values, thus filling missing values is a success
2022-05-19/18:02:31		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:02:31		Finding outliers is a success
2022-05-19/18:02:31		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/18:02:31		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:02:31		Finding outliers is a success
2022-05-19/18:02:31		Saving the plot of target data after replacing outliers is a success
2022-05-19/18:02:31		There are no outliers, thus replacing outliers is a success
2022-05-19/18:02:32		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:02:32		Creating New features is a success
2022-05-19/18:02:32		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/18:02:32		Entered the trainModel method of the Preprocessor class
2022-05-19/18:02:33		Training different models is a success
2022-05-19/18:02:33		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/18:02:33		Saving the best model
2022-05-19/18:02:33		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/18:02:33		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/18:03:27		Entered the readDataset method of the Preprocessor class
2022-05-19/18:03:27		Reading data is a success
2022-05-19/18:03:27		Entered the readDataset method of the Preprocessor class
2022-05-19/18:03:27		Reading data is a success
2022-05-19/18:03:27		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:03:27		Finding missing values is a success
2022-05-19/18:03:27		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/18:03:27		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:03:27		Finding missing values is a success
2022-05-19/18:03:27		There are no null values, thus filling missing values is a success
2022-05-19/18:03:27		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:03:27		Finding outliers is a success
2022-05-19/18:03:27		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/18:03:27		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:03:27		Finding outliers is a success
2022-05-19/18:03:27		Saving the plot of target data after replacing outliers is a success
2022-05-19/18:03:27		There are no outliers, thus replacing outliers is a success
2022-05-19/18:03:27		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:03:27		Creating New features is a success
2022-05-19/18:03:27		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:03:27		Creating New features is a success
2022-05-19/18:03:27		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/18:03:27		Entered the trainModel method of the Preprocessor class
2022-05-19/18:03:28		Training different models is a success
2022-05-19/18:03:29		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/18:03:29		Saving the best model
2022-05-19/18:03:29		Entered the predictingTestData method of the Preprocessor class
2022-05-19/18:04:22		Entered the readDataset method of the Preprocessor class
2022-05-19/18:04:22		Reading data is a success
2022-05-19/18:04:22		Entered the readDataset method of the Preprocessor class
2022-05-19/18:04:22		Reading data is a success
2022-05-19/18:04:22		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:04:22		Finding missing values is a success
2022-05-19/18:04:22		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/18:04:22		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:04:22		Finding missing values is a success
2022-05-19/18:04:22		There are no null values, thus filling missing values is a success
2022-05-19/18:04:22		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:04:22		Finding outliers is a success
2022-05-19/18:04:22		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/18:04:22		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:04:22		Finding outliers is a success
2022-05-19/18:04:22		Saving the plot of target data after replacing outliers is a success
2022-05-19/18:04:22		There are no outliers, thus replacing outliers is a success
2022-05-19/18:04:22		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:04:22		Creating New features is a success
2022-05-19/18:04:22		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:04:22		Creating New features is a success
2022-05-19/18:04:22		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/18:04:22		Entered the trainModel method of the Preprocessor class
2022-05-19/18:04:24		Training different models is a success
2022-05-19/18:04:24		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/18:04:24		Saving the best model
2022-05-19/18:04:24		Entered the predictingTestData method of the Preprocessor class
2022-05-19/18:09:09		Entered the readDataset method of the Preprocessor class
2022-05-19/18:09:09		Reading data is a success
2022-05-19/18:09:10		Entered the readDataset method of the Preprocessor class
2022-05-19/18:09:10		Reading data is a success
2022-05-19/18:09:10		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:09:10		Finding missing values is a success
2022-05-19/18:09:10		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/18:09:10		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:09:10		Finding missing values is a success
2022-05-19/18:09:10		There are no null values, thus filling missing values is a success
2022-05-19/18:09:10		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:09:10		Finding outliers is a success
2022-05-19/18:09:10		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/18:09:10		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:09:10		Finding outliers is a success
2022-05-19/18:09:10		Saving the plot of target data after replacing outliers is a success
2022-05-19/18:09:10		There are no outliers, thus replacing outliers is a success
2022-05-19/18:09:10		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:09:10		Creating New features is a success
2022-05-19/18:09:10		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:09:10		Creating New features is a success
2022-05-19/18:09:10		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/18:09:10		Entered the trainModel method of the Preprocessor class
2022-05-19/18:09:11		Training different models is a success
2022-05-19/18:09:12		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/18:09:12		Saving the best model
2022-05-19/18:09:12		Entered the predictingTestData method of the Preprocessor class
2022-05-19/18:10:08		Entered the readDataset method of the Preprocessor class
2022-05-19/18:10:08		Reading data is a success
2022-05-19/18:10:08		Entered the readDataset method of the Preprocessor class
2022-05-19/18:10:08		Reading data is a success
2022-05-19/18:10:08		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:10:08		Finding missing values is a success
2022-05-19/18:10:08		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/18:10:08		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/18:10:08		Finding missing values is a success
2022-05-19/18:10:08		There are no null values, thus filling missing values is a success
2022-05-19/18:10:08		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:10:08		Finding outliers is a success
2022-05-19/18:10:08		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/18:10:08		Entered the checkOutliers method of the Preprocessor class
2022-05-19/18:10:08		Finding outliers is a success
2022-05-19/18:10:08		Saving the plot of target data after replacing outliers is a success
2022-05-19/18:10:08		There are no outliers, thus replacing outliers is a success
2022-05-19/18:10:09		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:10:09		Creating New features is a success
2022-05-19/18:10:09		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/18:10:09		Creating New features is a success
2022-05-19/18:10:09		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/18:10:09		Entered the trainModel method of the Preprocessor class
2022-05-19/18:10:10		Training different models is a success
2022-05-19/18:10:10		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/18:10:10		Saving the best model
2022-05-19/18:10:10		Entered the predictingTestData method of the Preprocessor class
2022-05-19/19:48:44		Entered the readDataset method of the Preprocessor class
2022-05-19/19:48:44		Reading data is a success
2022-05-19/19:48:44		Entered the readDataset method of the Preprocessor class
2022-05-19/19:48:44		Reading data is a success
2022-05-19/19:48:44		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/19:48:44		Finding missing values is a success
2022-05-19/19:48:44		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/19:48:44		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/19:48:44		Finding missing values is a success
2022-05-19/19:48:44		There are no null values, thus filling missing values is a success
2022-05-19/19:48:44		Entered the checkOutliers method of the Preprocessor class
2022-05-19/19:48:44		Finding outliers is a success
2022-05-19/19:48:44		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/19:48:44		Entered the checkOutliers method of the Preprocessor class
2022-05-19/19:48:44		Finding outliers is a success
2022-05-19/19:48:44		Saving the plot of target data after replacing outliers is a success
2022-05-19/19:48:44		There are no outliers, thus replacing outliers is a success
2022-05-19/19:48:44		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/19:48:44		Creating New features is a success
2022-05-19/19:48:44		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/19:48:44		Creating New features is a success
2022-05-19/19:48:44		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/19:48:44		Entered the trainModel method of the Preprocessor class
2022-05-19/19:48:46		Training different models is a success
2022-05-19/19:48:46		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/19:48:46		Saving the best model
2022-05-19/19:48:46		Entered the predictingTestData method of the Preprocessor class
2022-05-19/19:49:06		Entered the readDataset method of the Preprocessor class
2022-05-19/19:49:06		Reading data is a success
2022-05-19/19:49:07		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/19:49:07		Finding missing values is a success
2022-05-19/19:49:07		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/19:49:07		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/19:49:07		Finding missing values is a success
2022-05-19/19:49:07		There are no null values, thus filling missing values is a success
2022-05-19/19:49:07		Entered the checkOutliers method of the Preprocessor class
2022-05-19/19:49:07		Finding outliers is a success
2022-05-19/19:49:07		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/19:49:07		Entered the checkOutliers method of the Preprocessor class
2022-05-19/19:49:07		Finding outliers is a success
2022-05-19/19:49:07		Saving the plot of target data after replacing outliers is a success
2022-05-19/19:49:07		There are no outliers, thus replacing outliers is a success
2022-05-19/19:49:07		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/19:49:07		Creating New features is a success
2022-05-19/19:49:07		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/19:49:07		Entered the trainModel method of the Preprocessor class
2022-05-19/19:49:10		Training different models is a success
2022-05-19/19:49:10		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/19:49:11		Saving the best model
2022-05-19/19:49:11		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/19:49:11		Entered the predictingSingleDate method of the Preprocessor class
2022-05-19/20:13:40		Entered the readDataset method of the Preprocessor class
2022-05-19/20:13:40		Reading data is a success
2022-05-19/20:13:41		Entered the readDataset method of the Preprocessor class
2022-05-19/20:13:41		Reading data is a success
2022-05-19/20:13:41		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/20:13:41		Finding missing values is a success
2022-05-19/20:13:41		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/20:13:41		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/20:13:41		Finding missing values is a success
2022-05-19/20:13:41		There are no null values, thus filling missing values is a success
2022-05-19/20:13:41		Entered the checkOutliers method of the Preprocessor class
2022-05-19/20:13:41		Finding outliers is a success
2022-05-19/20:13:41		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/20:13:41		Entered the checkOutliers method of the Preprocessor class
2022-05-19/20:13:41		Finding outliers is a success
2022-05-19/20:13:41		Saving the plot of target data after replacing outliers is a success
2022-05-19/20:13:41		There are no outliers, thus replacing outliers is a success
2022-05-19/20:13:41		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/20:13:41		Creating New features is a success
2022-05-19/20:13:41		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/20:13:41		Creating New features is a success
2022-05-19/20:13:41		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/20:13:41		Entered the trainModel method of the Preprocessor class
2022-05-19/20:13:42		Training different models is a success
2022-05-19/20:13:43		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/20:13:43		Saving the best model
2022-05-19/20:13:43		Entered the predictingTestData method of the Preprocessor class
2022-05-19/20:15:21		Entered the readDataset method of the Preprocessor class
2022-05-19/20:15:21		Reading data is a success
2022-05-19/20:15:22		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/20:15:22		Finding missing values is a success
2022-05-19/20:15:22		Entered the fillMissingValues method of the Preprocessor class
2022-05-19/20:15:22		Entered the checkNullvalues method of the Preprocessor class
2022-05-19/20:15:22		Finding missing values is a success
2022-05-19/20:15:22		There are no null values, thus filling missing values is a success
2022-05-19/20:15:22		Entered the checkOutliers method of the Preprocessor class
2022-05-19/20:15:22		Finding outliers is a success
2022-05-19/20:15:22		Entered the replacingOutliers method of the Preprocessor class
2022-05-19/20:15:22		Entered the checkOutliers method of the Preprocessor class
2022-05-19/20:15:22		Finding outliers is a success
2022-05-19/20:15:22		Saving the plot of target data after replacing outliers is a success
2022-05-19/20:15:22		There are no outliers, thus replacing outliers is a success
2022-05-19/20:15:22		Entered the creatingNewFeatures method of the Preprocessor class
2022-05-19/20:15:22		Creating New features is a success
2022-05-19/20:15:22		Entered the removeCorrFeatures method of the Preprocessor class
2022-05-19/20:15:22		Entered the trainModel method of the Preprocessor class
2022-05-19/20:15:24		Training different models is a success
2022-05-19/20:15:25		Selecting the best parameters using hyperparameter tuning is a success
2022-05-19/20:15:25		Saving the best model
2022-05-19/20:15:25		Entered the PreparingForPrediction method of the Preprocessor class
2022-05-19/20:15:25		Entered the predictingSingleDate method of the Preprocessor class
